Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
journalArticle,2014,"Zheng, Yu; Capra, Licia; Wolfson, Ouri; Yang, Hai","Urban computing: Concepts, methodologies, and applications",ACM Transactions on Intelligent Systems and Technology,,21576912,10.1145/2629592,,"Urbanization's rapid progress has modernized many people's lives but also engendered big issues, such as traffic congestion, energy consumption, and pollution. Urban computing aims to tackle these issues by using the data that has been generated in cities (e.g., traffic flow, human mobility, and geographical data). Urban computing connects urban sensing, data management, data analytics, and service providing into a recurrent process for an unobtrusive and continuous improvement of people's lives, city operation systems, and the environment. Urban computing is an interdisciplinary field where computer sciences meet conventional city-related fields, like transportation, civil engineering, environment, economy, ecology, and sociology in the context of urban spaces. This article first introduces the concept of urban computing, discussing its general framework and key challenges from the perspective of computer sciences. Second, we classify the applications of urban computing into seven categories, consisting of urban planning, transportation, the environment, energy, social, economy, and public safety and security, presenting representative scenarios in each category. Third, we summarize the typical technologies that are needed in urban computing into four folds, which are about urban sensing, urban data management, knowledge fusion across heterogeneous data, and urban data visualization. Finally, we give an outlook on the future of urban computing, suggesting a few research topics that are somehow missing in the community.",2014-09,8/19/2020 6:59,8/19/2020 6:59,,,,3,5,,,,,,,,,,,,,,,,,Publisher: Association for Computing Machinery,,,,Urban computing; Big data; City dynamics; Computing with heterogeneous data; Human mobility; Knowledge fusion; Trajectories; Urban informatics; Urban sensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conferencePaper,2020,"Theriot, Ryan; Hutchison, James; Kirshenbaum, Nurit; Leigh, Jason",Tailoring Data Visualization to Diversely Informed End Users,Practice and Experience in Advanced Research Computing,978-1-4503-6689-2,,10.1145/3311790.3396630,https://doi.org/10.1145/3311790.3396630 https://dl.acm.org/doi/10.1145/3311790.3396630,"Visualization is invaluable for communicating complex data, and it is becoming more important when researchers seek insights, or when they need to share their insights with end-users with diverse level of expertise such as policy-makers or the general public. In this paper, we detail how we approach this issue using the HAVEN and ProjecTable systems we developed. These systems share data of projected renewable energy supply based on several possible scenarios that should help Hawaii achieve 100% renewable energy by 2045. However, each system offers different features directed at end-users interested in different levels of detail. We describe here the two systems and their use, both separately and in conjunction.",2020-07,8/19/2020 6:59,8/19/2020 6:59,,304–310,,,,,,,PEARC '20,,,,ACM,"New York, NY, USA",,,,,,,,,,,,Physical visualization; Policy makers; Renewable energy; Visualization for large displays; Visualization tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conferencePaper,2013,"Ahat, Murat; Amor, Soufian Ben; Bui, Marc",Agent based model of smart grids for ecodistricts,Proceedings of the Fourth Symposium on Information and Communication Technology - SoICT '13,978-1-4503-2454-0,,10.1145/2542050.2542058,https://doi.org/10.1145/2542050.2542058 http://dl.acm.org/citation.cfm?doid=2542050.2542058,"Electricity has become a vital part of the modern life. Ever increasing electricity demand and inefficiency of the old electricity grid have led to the new vision which is called smart grid. Since, much work has been done to study the different aspects of the smart grid using computer and mathematical models. However little is done to combine those efforts to study the smart grid and ecodistrict in the same context. In this work we discuss the importance of the smart grid technologies in an ecodistrict development and the theoretical approaches for modeling smart grid and ecodistrict. Further more, we propose an agent-based model of ecodistricts with smart grid elements, by following a modeling approach called ASPECS. Though the simulations based on this kind of models can not be used as an exact predictive tools, it provides us with an exploratory tool to study how to integrate smart grid elements in an ecodistrict, and how different actors interact with each other.",2013,8/19/2020 6:59,8/19/2020 6:59,,45–52,,,,,,,SoICT '13,,,,ACM Press,"New York, New York, USA",,,,,,,,,,,,agent-based model; ecodistrict; smart grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conferencePaper,2020,"Piantella, Benedetta; Nathanson, Alex; Brain, Tega; Ohshiro, Keita",Solar-Powered Server: Designing for a More Energy Positive Internet,Extended Abstracts of the 2020 CHI Conference on Human Factors in Computing Systems,978-1-4503-6819-3,,10.1145/3334480.3383155,https://doi.org/10.1145/3334480.3383155 https://dl.acm.org/doi/10.1145/3334480.3383155,"User Experience designers, software engineers and computer scientists alike are rarely tasked with thinking about the environmental impact and resource consumption of their design decisions, both when creating online platforms and experiences and when publishing multimedia content. Furthermore, free or low-cost web and hosting services encourage designers and users alike to overlook the substantial energy footprint of their online behaviors and interactions. The Solar-Powered Server is as a system designed to more deeply investigate the power consumption of our online actions and compare different design elements and choices, while experimenting with the intrinsic qualities of renewable energy sources in order to create more resource-efficient content, to make information storage more accessible under low resource conditions and foster more energy positive behaviors.",2020-04,8/19/2020 6:59,8/19/2020 6:59,,1–4,,,,,,,CHI EA '20,,,,ACM,"New York, NY, USA",,,,,,,,,,,,climate; design; green computing; multimedia server; renewable energy sources; solar; sustainability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conferencePaper,2019,"Piette, Mary Ann; Singh, Reshma; Prakash, Anand Krishnan",Evaluation of the Need for and Design of a City Energy Operations System,"Proceedings of the 1st ACM International Workshop on Urban Building Energy Sensing, Controls, Big Data Analysis, and Visualization - UrbSys'19",978-1-4503-7014-1,,10.1145/3363459.3363539,https://doi.org/10.1145/3363459.3363539 http://dl.acm.org/citation.cfm?doid=3363459.3363539,"There is growing interest in city and community scale energy efficiency goals across the US and around the world [1]. Forward thinking developers are expressing interest in developing methods to track the actual operations of new urban developments and campuses. Local governments and developers are exploring how to ensure that the built infrastructure, including buildings, transportation, energy generation and storage assets, is not only designed for energy efficiency, but operates efficiently as well. There is a need for city and district scale tools to support energy analysis from design through operations. Smart city data analytics is a growing area of interest in the smart city technology space. However, while there is enthusiasm for the concept of smart city energy analytics, there is a lack of common semantic data models, interoperable systems, and methods to collect data and support decision-making for operating multi-building city- and district-scale energy systems. Urban developers are asking broad questions about how such a system might be designed, built, valued, maintained, and optimized. This paper describes ongoing research to explore and define a City or District Energy Operations System (CityEOS).",2019,8/19/2020 6:59,8/19/2020 6:59,,97–100,,,,,,,UrbSys'19,,,,ACM Press,"New York, New York, USA",,,,,,,,,,,,Building energy efficiency; City data exchange; City Energy; decision science; distributed energy resources; district energy systems; Energy generation and storage; Mobility and energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conferencePaper,2017,"Iram, Shamaila; Fernando, Terrence; Bassanino, May",Exploring Cross-Domain Data Dependencies for Smart Homes to Improve Energy Efficiency,Companion Proceedings of the10th International Conference on Utility and Cloud Computing - UCC '17 Companion,978-1-4503-5195-9,,10.1145/3147234.3148096,https://doi.org/10.1145/3147234.3148096 http://dl.acm.org/citation.cfm?doid=3147234.3148096,"Over the past decade, the idea of smart homes has been conceived as a potential solution to counter energy crises or to at least mitigate its intensive destructive consequences in the residential building sector. Smart homes have emerged as one of the applications of Internet of Things (IoT) that enabled the use of technology to automate and customize home services with reference to users' preferences. However, the concept of smart homes is still not fully matured due to the weak handling of diverse datasets that can be exploited to promote more adaptive, personalised, and context aware capabilities. Furthermore, instead of just deploying integrated automated services in the homes, the focus should be to bring the concerns of potential stakeholders into consideration. In this paper, we have exploited the concepts of ontologies to capture all sorts of data (classes and their subclasses) that belong to one domain based on stakeholders' requirements analysis. We have also explored their significant associations with other datasets from another domain. In addition, this research work provides an insight about what sorts of interdependencies exist between different datasets across different ontological models such as Smart homes ontology model and ICT ontology model.",2017,8/19/2020 6:59,8/19/2020 6:59,,221–226,,,,,,,UCC '17 Companion,,,,ACM Press,"New York, New York, USA",,,,,,,,,,,,data ontology; energy efficiency; internet of things; smart homes; use case studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conferencePaper,2020,"Würstle, Patrick; Santhanavanich, Thunyathep; Padsala, Rushikesh; Coors, Volker",The Conception of an Urban Energy Dashboard using 3D City Models,Proceedings of the Eleventh ACM International Conference on Future Energy Systems,978-1-4503-8009-6,,10.1145/3396851.3402650,https://doi.org/10.1145/3396851.3402650 https://dl.acm.org/doi/10.1145/3396851.3402650,"In this paper, we present a concept for an urban energy dashboard built using different Open Geospatial Consortium (OGC) standards integrated with 3D city models. With cities continuously pressed to cut upon their carbon emissions, it becomes vital to visualize different energy data under one application. This perfectly fits our vision of developing an interactive web-based urban energy dashboard, which shows not only static data but also real-time dynamic data such as measured data from sensors, all integrated into 3D city models. Evolution of the mentioned dashboard is presented using three different case study regions based on data availability and its urban scale: 1) Landkreis Ludwigsburg - A district in Baden Württemberg, Germany showing static urban energy data of specific heating demand 2) Brooklyn - A borough in New York City showing urban energy data of specific heating demand (incl. domestic hot water) over a temporal resolution of 5 years and 3) Wüstenrot - A small municipality in Germany showing real-time dynamic energy data streaming from sensors integrated into a 3D city model. Such an interactive dashboard presents both static and dynamic urban energy data to the citizens and city administration in the most straightforward yet effective manner.",2020-06,8/19/2020 6:59,8/19/2020 6:59,,523–527,,,,,,,e-Energy '20,,,,ACM,"New York, NY, USA",,,,,,,,,,,,3D City Models; Energy Data Visualization; OGC Standards; Urban Energy Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conferencePaper,2020,"Protopsaltis, Antonis; Sarigiannidis, Panagiotis; Margounakis, Dimitrios; Lytos, Anastasios","Data Visualization in Internet of Things: Tools, Methodologies, and Challenges","Proceedings of the 15th International Conference on Availability, Reliability and Security",978-1-4503-8833-7,,10.1145/3407023.3409228,https://doi.org/10.1145/3407023.3409228,"As the Internet of Things (IoT) grows rapidly, huge amounts of wireless sensor networks emerged monitoring a wide range of infrastructure, in various domains such as healthcare, energy, transportation, smart city, building automation, agriculture, and industry producing continuously streamlines of data. Big Data technologies play a significant role within IoT processes, as visual analytics tools, generating valuable knowledge in real-time in order to support critical decision making. This paper provides a comprehensive survey of visualization methods, tools, and techniques for the IoT. We position data visualization inside the visual analytics process by reviewing the visual analytics pipeline. We provide a study of various chart types available for data visualization and analyze rules for employing each one of them, taking into account the special conditions of the particular use case. We further examine some of the most promising visualization tools. Since each IoT domain is isolated in terms of Big Data approaches, we investigate visualization issues in each domain. Additionally, we review visualization methods oriented to anomaly detection. Finally, we provide an overview of the major challenges in IoT visualizations.",2020,8/19/2020 6:59,8/19/2020 6:59,,,,,,,,,ARES '20,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,anomaly detection; big data; data visualization; Internet of Things (IoT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journalArticle,2012,"Banerjee, Prithviraj; Patel, Chandrakant; Bash, Cullen; Shah, Amip; Arlitt, Martin",Towards a net-zero data center,ACM Journal on Emerging Technologies in Computing Systems,,1550-4832,10.1145/2367736.2367738,https://doi.org/10.1145/2367736.2367738 https://dl.acm.org/doi/10.1145/2367736.2367738,"A world consisting of billions of service-oriented client devices and thousands of data centers can deliver a diverse range of services, from social networking to management of our natural resources. However, these services must scale in order to meet the fundamental needs of society. To enable such scaling, the total cost of ownership of the data centers that host the services and comprise the vast majority of service delivery costs will need to be reduced. As energy drives the total cost of ownership of data centers, there is a need for a new paradigm in design and management of data centers that minimizes energy used across their lifetimes, from “cradle to cradle”. This tutorial article presents a blueprint for a “net-zero data center”: one that offsets any electricity used from the grid via adequate on-site power generation that gets fed back to the grid at a later time. We discuss how such a data center addresses the total cost of ownership, illustrating that contrary to the oft-held view of sustainability as “paying more to be green”, sustainable data centers—built on a framework that focuses on integrating supply and demand management from end-to-end—can concurrently lead to lowest cost and lowest environmental impact.",2012-10,8/19/2020 6:59,8/19/2020 6:59,,1–39,,4,8,,,,,,,,,,,,,,,,,"Place: New York, NY, USA Publisher: Association for Computing Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conferencePaper,2013,"Valkanova, Nina; Jorda, Sergi; Tomitsch, Martin; Vande Moere, Andrew",Reveal-It! The Impact of a Social Visualization Projection on Public Awareness and Discourse,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,978-1-4503-1899-0,,10.1145/2470654.2466476,https://doi.org/10.1145/2470654.2466476,"Public displays and projections are becoming increasingly available in various informal urban settings. However, their potential impact on informing and engaging citizens on relevant issues has still been largely unexplored. In this paper, we show that visualizations displayed in public settings are able to increase social awareness and discourse by exposing underlying patterns in data that is submitted by citizens. We thus introduce the design and evaluation of Reveal-it!, a public, interactive projection that facilitates the comparison of the energy consumptions of individuals and communities. Our in-the-wild deployment in three distinct physical locations provided insights into: 1) how people responded to this form of display in different contexts; 2) how it influenced people's perception and discussion of individual and communal data; and 3) the implications for a public visualization as a tool for increasing awareness and discourse. We conclude by discussing emerging participant behaviors, as well as some challenges involved in facilitating a socially motivated crowd-sourced visualization in the public context.",2013,8/19/2020 6:59,8/19/2020 6:59,,3461–3470,,,,,,,CHI '13,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,sustainability; awareness; captology; energy consumption; evaluation; in-the-wild study; persuasive computing; public display; reflection; urban screen; urban visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
