Item Title,Authors,Publication Year,Publication Title,Content Type,Item DOI,URL,Journal Volume,Journal Issue,Book Series Title
Special Report 4: Chinaâ€™s Energy System Revolution,Shi YaodongAngus Gillespie,2020,China's Energy Revolution in the Context of the Global Energy Transition,Chapter,10.1007/978-3-030-40154-2_5,http://link.springer.com/chapter/10.1007/978-3-030-40154-2_5,,,
Abstracts from the 8th DACH+ Conference on Energy Informatics,,2019,Energy Informatics,Article,10.1186/s42162-019-0098-7,http://link.springer.com/article/10.1186/s42162-019-0098-7,2,2,
ECR 2017 â€“ BOOK OF ABSTRACTS,,2017,Insights into Imaging,Article,10.1007/s13244-017-0546-5,http://link.springer.com/article/10.1007/s13244-017-0546-5,8,1,
Special Report 3: A Study of Chinaâ€™s Technology Revolution,Song ZifengNigel Dickens,2020,China's Energy Revolution in the Context of the Global Energy Transition,Chapter,10.1007/978-3-030-40154-2_4,http://link.springer.com/chapter/10.1007/978-3-030-40154-2_4,,,
"Annual Congress of the European Association of Nuclear Medicine October 13 â€“ 17, 2018 DÃ¼sseldorf, Germany",,2018,European Journal of Nuclear Medicine and Molecular Imaging,Article,10.1007/s00259-018-4148-3,http://link.springer.com/article/10.1007/s00259-018-4148-3,45,1,
The Grants Register,Ruth Lefevre,2016,The Grants Register 2017,ReferenceWorkEntry,10.1007/978-1-349-70229-9_1,http://link.springer.com/referenceworkentry/10.1007/978-1-349-70229-9_1,,,
Spatiotemporal modelling for integrated spatial and energy planning,Luis Ramirez CamargoGernot Stoeglehner,2018,"Energy, Sustainability and Society",Article,10.1186/s13705-018-0174-z,http://link.springer.com/article/10.1186/s13705-018-0174-z,8,1,
"CARS 2015â€”Computer Assisted Radiology and Surgery Proceedings of the 29th International Congress and Exhibition Barcelona, Spain, June 24â€“27, 2015",,2015,International Journal of Computer Assisted Radiology and Surgery,Article,10.1007/s11548-015-1213-2,http://link.springer.com/article/10.1007/s11548-015-1213-2,10,1,
Building simulation: Ten challenges,Tianzhen HongJared LangevinKaiyu Sun,2018,Building Simulation,Article,10.1007/s12273-018-0444-x,http://link.springer.com/article/10.1007/s12273-018-0444-x,11,5,
Improved peak load management control technique for nonlinear and dynamic residential energy consumption pattern,Olawale PopoolaMoreBlessing Chipango,2020,Building Simulation,Article,10.1007/s12273-020-0601-x,http://link.springer.com/article/10.1007/s12273-020-0601-x,,,
